INFO 2026-02-12 17:24:54,332 autoreload Watching for file changes with StatReloader
INFO 2026-02-13 18:03:22,923 autoreload Watching for file changes with StatReloader
INFO 2026-02-13 18:03:28,556 log "GET / HTTP/1.1" 200 12068
INFO 2026-02-13 18:03:28,826 log "GET / HTTP/1.1" 200 12068
WARNING 2026-02-13 18:03:28,954 log Not Found: /favicon.ico
WARNING 2026-02-13 18:03:28,954 log "GET /favicon.ico HTTP/1.1" 404 2218
INFO 2026-02-13 18:04:00,023 autoreload Watching for file changes with StatReloader
INFO 2026-02-13 18:04:03,115 log "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-13 18:04:03,140 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-02-13 18:04:03,183 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-13 18:04:03,183 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-02-13 18:04:03,184 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-02-13 18:04:03,185 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-13 18:04:03,185 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-02-13 18:04:03,186 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-02-13 18:04:03,190 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-13 18:04:06,454 log "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4253
INFO 2026-02-13 18:05:20,023 autoreload Watching for file changes with StatReloader
INFO 2026-02-13 18:05:24,927 log "GET / HTTP/1.1" 200 12068
INFO 2026-02-13 18:05:25,109 log "GET / HTTP/1.1" 200 12068
INFO 2026-02-13 18:05:29,038 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-02-13 18:05:31,423 log "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-02-13 18:05:31,441 log "GET /admin/ HTTP/1.1" 200 11251
INFO 2026-02-13 18:05:31,481 log "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-02-13 18:05:31,485 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-02-13 18:05:31,486 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-02-13 18:06:55,163 log "GET /admin/ HTTP/1.1" 200 11251
INFO 2026-02-13 18:07:34,540 log "GET /admin/ HTTP/1.1" 302 0
INFO 2026-02-13 18:07:34,575 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-02-13 18:07:35,580 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-02-13 18:07:35,594 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-13 18:07:35,595 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-13 18:07:35,596 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-02-13 18:07:35,597 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-02-13 18:07:35,597 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-13 18:07:35,598 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-02-13 18:07:40,940 log "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4253
INFO 2026-02-13 18:07:50,122 log "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-02-13 18:07:50,143 log "GET /admin/ HTTP/1.1" 200 11251
INFO 2026-02-13 18:07:50,154 log "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-02-13 18:07:50,175 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-02-13 18:07:50,176 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-02-13 18:07:53,256 log "GET /admin/ttgen/department/ HTTP/1.1" 200 11884
INFO 2026-02-13 18:07:53,580 log "GET /static/admin/css/changelists.css HTTP/1.1" 200 7498
INFO 2026-02-13 18:07:53,582 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-02-13 18:07:53,583 log "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-02-13 18:07:53,586 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-02-13 18:07:53,588 log "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-02-13 18:07:53,589 log "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-02-13 18:07:53,589 log "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-02-13 18:07:53,590 log "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-02-13 18:07:53,593 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-02-13 18:07:53,600 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-02-13 18:07:53,600 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-02-13 18:07:53,601 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:07:53,655 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
INFO 2026-02-13 18:07:58,798 log "GET /admin/ttgen/department/add/ HTTP/1.1" 200 12005
INFO 2026-02-13 18:07:59,104 log "GET /static/admin/css/forms.css HTTP/1.1" 200 8817
INFO 2026-02-13 18:07:59,106 log "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-02-13 18:07:59,107 log "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-02-13 18:07:59,110 log "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2026-02-13 18:07:59,112 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:11,462 log "POST /admin/ttgen/department/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:08:11,494 log "GET /admin/ttgen/department/ HTTP/1.1" 200 13409
INFO 2026-02-13 18:08:11,518 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:11,549 log "GET /static/admin/img/icon-info-dark.svg HTTP/1.1" 200 630
INFO 2026-02-13 18:08:17,311 log "GET /admin/ttgen/division/ HTTP/1.1" 200 11866
INFO 2026-02-13 18:08:17,616 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:28,632 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:08:28,946 log "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
INFO 2026-02-13 18:08:28,951 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:40,421 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:08:40,439 log "GET /admin/ttgen/division/ HTTP/1.1" 200 13783
INFO 2026-02-13 18:08:40,453 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:42,913 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:08:42,927 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:49,515 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:08:49,530 log "GET /admin/ttgen/division/ HTTP/1.1" 200 14151
INFO 2026-02-13 18:08:49,547 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:08:54,083 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:08:54,099 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:00,112 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
INFO 2026-02-13 18:09:00,127 log "GET /admin/ttgen/division/ HTTP/1.1" 200 14518
INFO 2026-02-13 18:09:00,141 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:01,974 log "GET /admin/ttgen/division/add/ HTTP/1.1" 200 14532
INFO 2026-02-13 18:09:01,987 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-13 18:09:06,774 log "POST /admin/ttgen/division/add/ HTTP/1.1" 302 0
